Sample in Buffer,Sample in Window,TRIGGER,design_1_i/axis_data_fifo_0_m_axis_tvalid,design_1_i/sticky_bit_0_signal_out,design_1_i/axis_data_fifo_0_m_axis_tdata[31:0],design_1_i/util_vector_logic_0_Res
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
164,164,0,1,1,ffe6ff2d,1
165,165,0,1,1,fef7ff6f,1
166,166,0,1,1,ff4700e4,1
167,167,0,1,1,ff55012d,1
168,168,0,1,1,00f8ff99,1
169,169,0,1,1,ffd6fe9f,1
170,170,0,1,1,ff0bffc9,1
171,171,0,1,1,fd9a0046,1
172,172,0,1,1,00f800e8,1
173,173,0,1,1,00ddff38,1
174,174,0,1,1,002cff09,1
175,175,0,1,1,fdacfe10,1
176,176,0,1,1,fff7014c,1
177,177,0,1,1,01080003,1
178,178,0,1,1,018fffcf,1
179,179,0,1,1,ffbefce8,1
180,180,0,1,1,ff48018e,1
181,181,0,1,1,00c200ec,1
182,182,0,1,1,01650167,1
183,183,0,1,1,01c5fe4f,1
184,184,0,1,1,fe200017,1
185,185,0,1,1,ff4400be,1
186,186,0,1,1,ffb101e4,1
187,187,0,1,1,014500c4,1
188,188,0,1,1,ff56feca,1
189,189,0,1,1,fed4ffab,1
190,190,0,1,1,fec50149,1
191,191,0,1,1,ff0301b8,1
192,192,0,1,1,0043ff3c,1
193,193,0,1,1,ff46fee3,1
194,194,0,1,1,fe51ffdb,1
195,195,0,1,1,fcd8ffcc,1
196,196,0,1,1,00edfff4,1
197,197,0,1,1,00bafe75,1
198,198,0,1,1,ffdefe6f,1
199,199,0,1,1,fe06fcd7,1
200,200,0,1,1,006b0152,1
201,201,0,1,1,01baffde,1
202,202,0,1,1,0186ffab,1
203,203,0,1,1,00c5fd4d,1
204,204,0,1,1,feb6016b,1
205,205,0,1,1,010901b1,1
206,206,0,1,1,01890169,1
207,207,0,1,1,0201fe9d,1
208,208,0,1,1,fe25ff8c,1
209,209,0,1,1,fee40150,1
210,210,0,1,1,ffcf0243,1
211,211,0,1,1,0154010b,1
212,212,0,1,1,ffaffe72,1
213,213,0,1,1,fe6bff97,1
214,214,0,1,1,fe37018f,1
215,215,0,1,1,ff000156,1
216,216,0,1,1,00baff25,1
217,217,0,1,1,ff82fe8f,1
218,218,0,1,1,fdfaff52,1
219,219,0,1,1,fdbaff5e,1
220,220,0,1,1,01440013,1
221,221,0,1,1,00ebfe6c,1
222,222,0,1,1,0006fe3a,1
223,223,0,1,1,fe14fd81,1
224,224,0,1,1,007c0156,1
225,225,0,1,1,01fe0026,1
226,226,0,1,1,01c3ff85,1
227,227,0,1,1,0097fcb5,1
228,228,0,1,1,fee70133,1
229,229,0,1,1,00db01c8,1
230,230,0,1,1,019d01ae,1
231,231,0,1,1,0283fe6f,1
232,232,0,1,1,feabff50,1
233,233,0,1,1,fea40143,1
234,234,0,1,1,ff3d0279,1
235,235,0,1,1,015a0123,1
236,236,0,1,1,004fff31,1
237,237,0,1,1,fe8eff84,1
238,238,0,1,1,fde70124,1
239,239,0,1,1,ff720127,1
240,240,0,1,1,0068ffee,1
241,241,0,1,1,ff72fedd,1
242,242,0,1,1,fdf7ff14,1
243,243,0,1,1,fd83ffa9,1
244,244,0,1,1,009a002d,1
245,245,0,1,1,0097fe60,1
246,246,0,1,1,ffc6fe1a,1
247,247,0,1,1,fe96fce9,1
248,248,0,1,1,004e0126,1
249,249,0,1,1,01d40062,1
250,250,0,1,1,021fff52,1
251,251,0,1,1,015bfcbe,1
252,252,0,1,1,ff45012c,1
253,253,0,1,1,002d016a,1
254,254,0,1,1,014501c4,1
255,255,0,1,1,02a8fed8,1
256,256,0,1,1,fea0000d,1
257,257,0,1,1,fee100a4,1
258,258,0,1,1,ff760214,1
259,259,0,1,1,01e50105,1
260,260,0,1,1,ff03ffbe,1
261,261,0,1,1,febbff9c,1
262,262,0,1,1,fddf00f8,1
263,263,0,1,1,ff6c019e,1
264,264,0,1,1,ff7cfef0,1
265,265,0,1,1,ff50fe50,1
266,266,0,1,1,fe60fec4,1
267,267,0,1,1,fdc7ff90,1
268,268,0,1,1,00adfefe,1
269,269,0,1,1,00fbfe46,1
270,270,0,1,1,008ffe91,1
271,271,0,1,1,ff07fd65,1
272,272,0,1,1,00e600d9,1
273,273,0,1,1,01cffffa,1
274,274,0,1,1,01970048,1
275,275,0,1,1,013cfd43,1
276,276,0,1,1,ff7e0138,1
277,277,0,1,1,00d30156,1
278,278,0,1,1,00ef01b5,1
279,279,0,1,1,02befed4,1
280,280,0,1,1,fec70075,1
281,281,0,1,1,ff8c00e7,1
282,282,0,1,1,ff4001fa,1
283,283,0,1,1,01d7012b,1
284,284,0,1,1,fea0ff71,1
285,285,0,1,1,fef10028,1
286,286,0,1,1,fe1100f8,1
287,287,0,1,1,ff340126,1
288,288,0,1,1,ffb0fe82,1
289,289,0,1,1,ff54fe9e,1
290,290,0,1,1,fe35ff35,1
291,291,0,1,1,fe63ff33,1
292,292,0,1,1,011dfef5,1
293,293,0,1,1,00ebfe64,1
294,294,0,1,1,ffb6fe9f,1
295,295,0,1,1,ff33fda0,1
296,296,0,1,1,0139009c,1
297,297,0,1,1,01fcfff2,1
298,298,0,1,1,0114ff95,1
299,299,0,1,1,0163fd32,1
300,300,0,1,1,ffcb01ae,1
301,301,0,1,1,0111017b,1
302,302,0,1,1,00c10198,1
303,303,0,1,1,02f1ff22,1
304,304,0,1,1,fe4100b9,1
305,305,0,1,1,ff8801a4,1
306,306,0,1,1,ff2801b3,1
307,307,0,1,1,01ab0109,1
308,308,0,1,1,fe95ff0d,1
309,309,0,1,1,fe9c0080,1
310,310,0,1,1,fdfa00d3,1
311,311,0,1,1,fffe00eb,1
312,312,0,1,1,ffddfe20,1
313,313,0,1,1,fea8feea,1
314,314,0,1,1,fdbdff14,1
315,315,0,1,1,fe71ffac,1
316,316,0,1,1,0180ff39,1
317,317,0,1,1,00aafe0e,1
318,318,0,1,1,ffa4fdf2,1
319,319,0,1,1,ffbdfd69,1
320,320,0,1,1,01750132,1
321,321,0,1,1,021f0002,1
322,322,0,1,1,0195ff18,1
323,323,0,1,1,01ebfd70,1
324,324,0,1,1,ff4201a6,1
325,325,0,1,1,008e0194,1
326,326,0,1,1,00c80116,1
327,327,0,1,1,02c3ffa8,1
328,328,0,1,1,fe650086,1
329,329,0,1,1,ff3c017d,1
330,330,0,1,1,ffc80193,1
331,331,0,1,1,02110117,1
332,332,0,1,1,fe82ff4d,1
333,333,0,1,1,fe6c005c,1
334,334,0,1,1,fe5200e3,1
335,335,0,1,1,003f012d,1
336,336,0,1,1,ffd4fe32,1
337,337,0,1,1,fe71fe04,1
338,338,0,1,1,fddffee7,1
339,339,0,1,1,feb4ffe9,1
340,340,0,1,1,00daff50,1
341,341,0,1,1,00e1fe24,1
342,342,0,1,1,001efe43,1
343,343,0,1,1,002ffe5b,1
344,344,0,1,1,013a00d3,1
345,345,0,1,1,0223ffab,1
346,346,0,1,1,01c0ff70,1
347,347,0,1,1,018efdd1,1
348,348,0,1,1,ff9c0149,1
349,349,0,1,1,011f0113,1
350,350,0,1,1,00ca0140,1
351,351,0,1,1,0292ffc5,1
352,352,0,1,1,fe3700ea,1
353,353,0,1,1,ffab01b5,1
354,354,0,1,1,ffb4022b,1
355,355,0,1,1,01f00141,1
356,356,0,1,1,fe47feaa,1
357,357,0,1,1,fe710045,1
358,358,0,1,1,fdfd010f,1
359,359,0,1,1,ffc30123,1
360,360,0,1,1,000cfe13,1
361,361,0,1,1,fefbfe0f,1
362,362,0,1,1,fd8cfef8,1
363,363,0,1,1,ff1bffc2,1
364,364,0,1,1,00bbff26,1
365,365,0,1,1,010dfe75,1
366,366,0,1,1,ffbafe75,1
367,367,0,1,1,0039fe9f,1
368,368,0,1,1,019bffec,1
369,369,0,1,1,0238ff81,1
370,370,0,1,1,00cffeff,1
371,371,0,1,1,0117fe0a,1
372,372,0,1,1,003a0187,1
373,373,0,1,1,019801d9,1
374,374,0,1,1,00ef00e1,1
375,375,0,1,1,026cff61,1
376,376,0,1,1,fe5900c9,1
377,377,0,1,1,ff2e0206,1
378,378,0,1,1,ff1e020b,1
379,379,0,1,1,022b00ca,1
380,380,0,1,1,fec7ff2e,1
381,381,0,1,1,fe95005a,1
382,382,0,1,1,fdb20087,1
383,383,0,1,1,00c00121,1
384,384,0,1,1,ff2afe42,1
385,385,0,1,1,fe91fee2,1
386,386,0,1,1,fd43fec1,1
387,387,0,1,1,ff9a00b0,1
388,388,0,1,1,017bfe13,1
389,389,0,1,1,00d0fe05,1
390,390,0,1,1,ffcefd0d,1
391,391,0,1,1,ffe5fe54,1
